"Average annual expenditures and characteristics of all consumer units, Consumer Expenditure Surveys, 2021-2024",,,,
,,,,
Item,2021,2022,2023,2024
Number of consumer units (in thousands) a/ ,"133,595","134,090","134,556","135,760"
,,,,
Consumer unit characteristics:,,,,
,,,,
Income before taxes,"$87,432","$94,003","$101,805","$104,207"
Income after taxes,"78,743","82,944","87,869",b/
,,,,
Age of reference person,51.8,52.1,52.1,52.2
,,,,
Average number in consumer unit:,,,,
People,2.4,2.4,2.5,2.4
Children under 18,.6,.6,.6,.6
Adults 65 and older,.4,.4,.4,.4
Earners,1.3,1.3,1.3,1.3
Vehicles,1.9,1.9,1.9,1.9
,,,,
Percent distribution:,,,,
,,,,
Reference person:,,,,
Men,47,49,49,48
Women,53,51,51,52
,,,,
Housing tenure:,,,,
Homeowner,65,65,65,65
With mortgage,38,38,38,37
Without mortgage,27,27,27,28
Renter,35,35,35,35
,,,,
Race of reference person:,,,,
Black or African-American,13,13,13,13
"White, Asian, and all other races, not including Black or African-American",87,87,87,87
,,,,
Hispanic or Latino origin of reference person:,,,,
Hispanic or Latino,15,15,15,16
Not Hispanic or Latino,85,85,85,84
,,,,
Education of reference person:,,,,
Elementary (1-8),3,3,3,3
High school (9-12),28,28,27,27
College,69,69,70,70
Never attended and other,c/,c/,c/,c/
,,,,
At least one vehicle owned or leased,89,89,89,89
,,,,
Average annual expenditures,"$66,928","$72,973 d/","$77,158 e/","$78,535"
,,,,
Food,"8,289","9,343","9,985","10,169"
Food at home,"5,259","5,703","6,053","6,224"
Cereals and bakery products,672,712,830,779
Cereals and cereal products,210,215,256,240
Bakery products,462,497,574,539
"Meats, poultry, fish, and eggs","1,115","1,216","1,164","1,414"
Beef,293,317,309,408
Pork,223,246,217,260
Other meats,151,167,141,150
Poultry,203,215,214,267
Fish and seafood,178,183,184,224
Eggs,68,87,99,105
Dairy products,492,532,602,631
Fresh milk and cream,157,168,149,141
Other dairy products,335,364,452,490
Fruits and vegetables,"1,033","1,099",988,953
Fresh fruits,378,406,413,394
Fresh vegetables,328,352,405,355
Processed fruits,133,144,f/,f/
Processed vegetables,194,197,f/,f/
Processed fruits and vegetables,f/,f/,170,203
Other food at home,"1,947","2,144","2,469","2,447"
Sugar and other sweets,182,197,239,230
Fats and oils,133,157,144,125
Miscellaneous foods,"1,049","1,117","1,325","1,284"
Nonalcoholic beverages,515,584,663,714
Food prepared by consumer unit on out of town trips,69,89,96,94
Food away from home,"3,030","3,639","3,933","3,945"
,,,,
Alcoholic beverages,554,583,637,643
,,,,
Housing,"22,624","24,298","25,436","26,266"
Shelter,"13,258","14,507","15,499","16,317"
Owned dwellings,"7,591","8,230","8,699","9,310"
Mortgage interest and charges,"2,781","3,101","3,435","3,646"
Property taxes,"2,475","2,570","2,666","2,738"
"Maintenance, repairs, insurance, and other expenses","2,335","2,559","2,599","2,926"
Rented dwellings,"4,684","4,990","5,370","5,660"
Other lodging,983,"1,287","1,430","1,347"
"Utilities, fuels, and public services","4,223","4,549","4,625","4,736"
Natural gas,447,535,540,493
Electricity,"1,551","1,683","1,763","1,833"
Fuel oil and other fuels,122,160,140,125
Telephone services,"1,409","1,431","1,403","1,460"
"Residential phone service, VOIP, and phone cards",165,147,133,100
Cellular phone service,"1,244","1,284","1,270","1,359"
Water and other public services,695,739,780,826
Household operations,"1,638","1,849","1,985","1,921"
Personal services,377,488,550,547
Other household expenses,"1,261","1,361","1,435","1,374"
Housekeeping supplies,803,787,818,877
Laundry and cleaning supplies,178,170,f/,f/
Laundry and cleaning products,f/,f/,193,209
Other household products,514,489,515,537
Postage and stationery,111,128,111,131
Household furnishings and equipment,"2,701","2,606","2,508","2,414"
Household textiles,122,138,128,107
Furniture,716,746,619,648
Floor coverings,33,34,27,30
Major appliances,464,408,384,385
Small appliances and miscellaneous housewares,142,142,135,155
Miscellaneous household equipment,"1,225","1,138","1,216","1,089"
,,,,
Apparel and services,"1,754","1,945","2,041","2,001"
Men and boys,424,454,502,467
"Men, 16 and over",310,347,406,374
